Name,,1970,,1980,,1990,,2000,,2014-2018,,1970,,1980,,1990,,2000,,2014-2018,,1970,,1980,,1990,,2000,,2014-2018,
United States,,47.70%,,33.50%,,24.80%,,19.60%,,12.30%,,45.80%,,31.70%,,23.30%,,18.80%,,12.00%,,55.90%,,41.80%,,31.60%,,23.70%,,14.00%,
Alabama,,58.70%,,43.50%,,33.10%,,24.70%,,14.20%,,55.50%,,40.00%,,29.80%,,22.00%,,12.70%,,66.60%,,52.50%,,42.30%,,32.30%,,19.30%,
Alaska,,33.30%,,17.00%,,13.30%,,11.70%,,7.30%,,25.60%,,13.10%,,10.40%,,9.90%,,6.30%,,44.80%,,24.70%,,18.90%,,15.20%,,9.20%,
Arizona,,41.90%,,27.60%,,21.30%,,19.00%,,13.20%,,40.70%,,26.60%,,20.30%,,18.40%,,13.00%,,57.50%,,42.10%,,37.10%,,29.60%,,18.20%,
Arkansas,,60.10%,,44.50%,,33.70%,,24.70%,,13.80%,,53.50%,,38.50%,,28.60%,,21.00%,,12.20%,,66.50%,,50.90%,,39.50%,,29.30%,,16.30%,
California,,37.40%,,26.50%,,23.80%,,23.20%,,17.10%,,37.20%,,26.60%,,23.90%,,23.30%,,17.20%,,43.50%,,25.30%,,21.90%,,17.80%,,11.90%,
Colorado,,36.10%,,21.40%,,15.60%,,13.10%,,8.60%,,33.80%,,20.00%,,14.60%,,12.50%,,8.40%,,47.10%,,28.50%,,21.40%,,16.50%,,9.90%,
Connecticut,,44.00%,,29.70%,,20.80%,,16.00%,,9.50%,,43.90%,,29.70%,,20.90%,,16.10%,,9.60%,,45.60%,,29.40%,,19.10%,,14.10%,,7.40%,
Delaware,,45.40%,,31.40%,,22.50%,,17.40%,,10.20%,,45.40%,,31.40%,,22.50%,,17.40%,,10.20%,,,,,,,,,,,
District of Columbia,,44.80%,,32.90%,,26.90%,,22.20%,,9.40%,,44.80%,,32.90%,,26.90%,,22.20%,,9.40%,,,,,,,,,,,
Florida,,47.40%,,33.30%,,25.60%,,20.10%,,12.00%,,46.50%,,32.10%,,23.40%,,19.80%,,11.80%,,61.20%,,44.90%,,35.70%,,29.20%,,19.50%,
Georgia,,59.40%,,43.60%,,29.10%,,21.40%,,13.30%,,54.80%,,39.10%,,25.60%,,19.00%,,12.10%,,72.60%,,57.70%,,42.00%,,31.50%,,19.10%,
Hawaii,,38.10%,,26.20%,,19.90%,,15.40%,,8.20%,,35.60%,,25.10%,,19.20%,,15.40%,,8.30%,,54.30%,,32.60%,,23.70%,,15.80%,,7.70%,
Idaho,,40.50%,,26.30%,,20.30%,,15.30%,,9.40%,,37.70%,,24.10%,,18.40%,,13.60%,,8.30%,,43.90%,,29.20%,,23.00%,,18.00%,,11.80%,
Illinois,,47.40%,,33.50%,,23.80%,,18.60%,,11.10%,,46.60%,,32.60%,,23.20%,,18.30%,,11.10%,,52.10%,,38.80%,,27.60%,,20.10%,,11.00%,
Indiana,,47.10%,,33.60%,,24.40%,,17.90%,,11.40%,,46.20%,,32.40%,,23.10%,,16.90%,,10.80%,,49.60%,,37.10%,,28.00%,,20.70%,,13.50%,
Iowa,,41.00%,,28.50%,,19.90%,,13.90%,,8.00%,,37.10%,,24.80%,,17.30%,,12.30%,,7.30%,,44.40%,,31.90%,,22.60%,,15.70%,,9.00%,
Kansas,,40.10%,,26.70%,,18.70%,,14.00%,,9.30%,,37.00%,,23.20%,,15.90%,,12.00%,,8.10%,,43.80%,,31.10%,,23.00%,,17.40%,,11.70%,
Kentucky,,61.50%,,46.90%,,35.40%,,25.90%,,14.30%,,54.20%,,38.70%,,27.60%,,19.40%,,10.70%,,70.20%,,56.30%,,44.90%,,33.90%,,19.30%,
Louisiana,,57.80%,,42.30%,,31.70%,,25.20%,,15.20%,,55.50%,,39.90%,,29.80%,,23.50%,,14.30%,,67.20%,,52.60%,,40.40%,,33.20%,,20.00%,
Maine,,45.30%,,31.30%,,21.20%,,14.60%,,7.70%,,43.50%,,30.20%,,19.70%,,13.20%,,6.80%,,47.40%,,32.80%,,23.10%,,16.60%,,8.90%,
Maryland,,47.70%,,32.60%,,21.60%,,16.20%,,10.00%,,47.10%,,32.10%,,21.30%,,16.00%,,9.90%,,66.00%,,48.40%,,30.40%,,21.40%,,12.10%,
Massachusetts,,41.50%,,27.80%,,20.00%,,15.20%,,9.60%,,41.60%,,27.90%,,20.10%,,15.30%,,9.60%,,39.90%,,24.40%,,16.00%,,11.30%,,6.30%,
Michigan,,47.20%,,32.00%,,23.20%,,16.60%,,9.50%,,46.80%,,31.60%,,22.80%,,16.40%,,9.50%,,49.70%,,34.10%,,25.10%,,17.40%,,9.50%,
Minnesota,,42.40%,,26.90%,,17.60%,,12.10%,,7.00%,,37.80%,,22.70%,,14.60%,,10.30%,,6.60%,,52.80%,,37.10%,,26.10%,,17.30%,,8.60%,
Mississippi,,59.00%,,45.20%,,35.70%,,27.10%,,16.10%,,50.80%,,37.10%,,28.80%,,21.20%,,12.70%,,63.30%,,50.10%,,40.40%,,31.50%,,19.00%,
Missouri,,51.20%,,36.50%,,26.10%,,18.70%,,10.40%,,48.40%,,33.20%,,22.90%,,16.30%,,8.90%,,58.70%,,45.00%,,34.90%,,25.10%,,14.90%,
Montana,,40.80%,,25.60%,,19.00%,,12.80%,,6.80%,,34.90%,,22.80%,,16.30%,,11.20%,,6.20%,,43.70%,,27.10%,,20.40%,,13.70%,,7.20%,
Nebraska,,40.70%,,26.60%,,18.20%,,13.40%,,8.90%,,35.60%,,22.50%,,15.00%,,11.70%,,8.50%,,45.70%,,31.10%,,22.20%,,15.80%,,9.60%,
Nevada,,34.80%,,24.50%,,21.20%,,19.30%,,13.70%,,33.40%,,24.00%,,21.10%,,19.60%,,13.90%,,42.00%,,27.90%,,21.80%,,17.50%,,12.30%,
New Hampshire,,42.40%,,27.70%,,17.80%,,12.60%,,7.10%,,41.90%,,26.90%,,16.70%,,11.80%,,7.00%,,43.20%,,29.00%,,19.70%,,13.80%,,7.30%,
New Jersey,,47.50%,,32.60%,,23.30%,,17.90%,,10.50%,,47.50%,,32.60%,,23.30%,,17.90%,,10.50%,,,,,,,,,,,
New Mexico,,44.80%,,31.10%,,24.90%,,21.10%,,14.70%,,39.70%,,27.40%,,21.30%,,18.70%,,13.10%,,50.70%,,36.70%,,30.80%,,25.40%,,18.10%,
New York,,47.30%,,33.70%,,25.20%,,20.90%,,13.50%,,47.30%,,33.60%,,25.10%,,21.00%,,13.70%,,48.30%,,35.70%,,26.10%,,20.20%,,11.30%,
North Carolina,,61.50%,,45.20%,,30.00%,,21.90%,,12.60%,,58.70%,,41.90%,,27.10%,,19.70%,,11.40%,,68.40%,,53.10%,,38.20%,,28.20%,,17.10%,
North Dakota,,49.70%,,33.60%,,23.30%,,16.10%,,7.50%,,40.20%,,25.10%,,16.20%,,11.50%,,6.00%,,53.90%,,38.20%,,27.90%,,19.70%,,9.00%,
Ohio,,46.80%,,33.00%,,24.30%,,17.00%,,9.90%,,46.20%,,32.20%,,23.50%,,16.40%,,9.30%,,48.90%,,36.20%,,27.60%,,19.50%,,12.20%,
Oklahoma,,48.40%,,34.00%,,25.40%,,19.40%,,12.20%,,43.50%,,29.20%,,21.80%,,17.10%,,11.20%,,54.60%,,40.60%,,30.90%,,23.20%,,14.00%,
Oregon,,40.00%,,24.40%,,18.50%,,14.90%,,9.60%,,38.40%,,23.00%,,17.20%,,13.90%,,9.10%,,45.50%,,29.30%,,23.90%,,19.00%,,12.40%,
Pennsylvania,,49.80%,,35.30%,,25.30%,,18.10%,,9.80%,,49.50%,,34.80%,,24.90%,,17.70%,,9.60%,,51.60%,,38.60%,,28.50%,,20.70%,,11.40%,
Rhode Island,,53.60%,,38.90%,,28.00%,,22.00%,,12.00%,,53.60%,,38.90%,,28.00%,,22.00%,,12.00%,,,,,,,,,,,
South Carolina,,62.20%,,46.30%,,31.70%,,23.70%,,12.90%,,59.70%,,44.00%,,29.50%,,21.90%,,11.90%,,71.10%,,55.20%,,41.00%,,31.30%,,18.10%,
South Dakota,,46.70%,,32.10%,,22.90%,,15.40%,,8.30%,,39.60%,,25.70%,,17.70%,,12.00%,,6.90%,,49.90%,,35.60%,,26.30%,,18.00%,,9.60%,
Tennessee,,58.20%,,43.80%,,32.90%,,24.10%,,13.00%,,54.40%,,39.90%,,29.40%,,21.40%,,11.60%,,69.30%,,55.20%,,43.80%,,32.00%,,17.60%,
Texas,,52.60%,,37.40%,,27.90%,,24.30%,,16.80%,,50.00%,,34.50%,,26.00%,,23.30%,,16.30%,,62.80%,,50.10%,,37.70%,,30.60%,,20.40%,
Utah,,32.70%,,20.00%,,14.90%,,12.30%,,8.00%,,31.60%,,19.10%,,14.20%,,11.90%,,7.90%,,41.00%,,26.00%,,20.20%,,15.10%,,9.00%,
Vermont,,42.90%,,29.00%,,19.20%,,13.60%,,7.40%,,40.60%,,26.60%,,16.30%,,11.50%,,6.70%,,43.80%,,29.90%,,20.50%,,14.50%,,7.80%,
Virginia,,52.20%,,37.60%,,24.80%,,18.50%,,10.70%,,47.50%,,32.70%,,21.20%,,15.90%,,9.60%,,70.30%,,57.90%,,43.30%,,32.90%,,17.70%,
Washington,,36.50%,,22.40%,,16.20%,,12.90%,,8.90%,,35.80%,,21.70%,,15.50%,,12.40%,,8.60%,,41.80%,,27.60%,,21.70%,,16.80%,,11.50%,
West Virginia,,58.40%,,44.00%,,34.00%,,24.80%,,13.50%,,55.20%,,40.60%,,30.90%,,22.20%,,12.00%,,62.80%,,48.70%,,38.50%,,28.70%,,15.90%,
Wisconsin,,45.50%,,30.40%,,21.40%,,14.90%,,8.10%,,43.20%,,28.30%,,19.80%,,14.10%,,7.70%,,51.70%,,35.80%,,25.60%,,17.10%,,9.00%,
Wyoming,,37.10%,,22.10%,,17.00%,,12.10%,,7.10%,,32.70%,,18.70%,,15.30%,,11.30%,,7.20%,,39.20%,,23.60%,,17.70%,,12.50%,,7.10%,
